cal,C14,error
5385,4675,15
5380,4685,15
5375,4697,15
5370,4705,15
5365,4706,15
5360,4701,16
5355,4694,15
5350,4691,16
5345,4698,15
5340,4706,15
5335,4706,15
5330,4690,15
5325,4662,15
5320,4629,15
5315,4600,15
5310,4577,15
5305,4560,15
5300,4549,16
5295,4540,14
5290,4531,14
5285,4518,14
5280,4506,15
5275,4495,15
5270,4487,15
5265,4482,15
5260,4478,15
5255,4475,15
5250,4475,14
5245,4480,14
5240,4484,14
5235,4480,14
5230,4473,15
5225,4475,14
5220,4480,15
5215,4476,14
5210,4464,14
5205,4458,15
5200,4464,14
5195,4470,15
5190,4478,14
5185,4488,14
5180,4495,15
5175,4498,14
5170,4499,14
5165,4506,14
5160,4518,15
5155,4526,14
5150,4529,14
5145,4524,15
5140,4514,16
5135,4503,15
5130,4495,16
5125,4487,15
5120,4482,15
5115,4482,16
5110,4486,16
5105,4496,15
5100,4507,16
5095,4514,15
5090,4514,16
5085,4510,16
5080,4506,16
5075,4506,16
5070,4503,16
5065,4500,16
5060,4499,16
5055,4489,16
5050,4470,16
5045,4451,15
5040,4436,16
5035,4427,16
5030,4421,16
5025,4414,15
5020,4409,15
5015,4411,16
5010,4421,15
5005,4432,16
5000,4439,15
4999,4439,15
4998,4440,15
4997,4440,15
4996,4440,15
4995,4440,15
4994,4439,15
4993,4439,15
4992,4439,15
4991,4439,15
4990,4439,15
4989,4438,15
4988,4438,15
4987,4438,15
4986,4438,15
4985,4437,15
4984,4436,15
4983,4435,15
4982,4434,15
4981,4432,15
4980,4429,15
4979,4426,15
4978,4423,15
4977,4420,14
4976,4416,15
4975,4413,15
4974,4410,15
4973,4408,15
4972,4405,15
4971,4403,15
4970,4402,15
4969,4400,15
4968,4398,15
4967,4397,15
4966,4396,15
4965,4394,15
4964,4392,15
4963,4390,15
4962,4388,15
4961,4386,15
4960,4384,15
4959,4381,15
4958,4379,15
4957,4376,15
4956,4374,15
4955,4372,15
4954,4370,15
4953,4368,15
4952,4366,16
4951,4365,16
4950,4364,16
4949,4363,16
4948,4363,16
4947,4363,16
4946,4364,16
4945,4364,15
4944,4365,15
4943,4366,15
4942,4367,15
4941,4369,15
4940,4370,15
4939,4371,15
4938,4373,16
4937,4374,16
4936,4375,16
4935,4377,16
4934,4378,16
4933,4379,16
4932,4379,16
4931,4380,15
4930,4381,15
4929,4382,15
4928,4382,15
4927,4383,15
4926,4383,16
4925,4383,16
4924,4384,16
4923,4384,16
4922,4384,17
4921,4384,17
4920,4384,17
4919,4384,17
4918,4383,17
4917,4383,16
4916,4383,16
4915,4383,16
4914,4382,16
4913,4382,15
4912,4381,15
4911,4381,15
4910,4381,15
4909,4381,15
4908,4380,15
4907,4380,15
4906,4380,16
4905,4380,16
4904,4380,16
4903,4380,16
4902,4380,16
4901,4380,16
4900,4381,15
4899,4381,15
4898,4382,15
4897,4382,15
4896,4383,15
4895,4383,15
4894,4383,15
4893,4384,15
4892,4384,16
4891,4384,16
4890,4384,16
4889,4384,16
4888,4384,17
4887,4383,17
4886,4383,17
4885,4382,16
4884,4381,16
4883,4380,16
4882,4379,16
4881,4377,16
4880,4376,15
4879,4374,15
4878,4372,15
4877,4370,15
4876,4368,15
4875,4366,15
4874,4364,15
4873,4361,15
4872,4359,16
4871,4356,16
4870,4354,16
4869,4351,16
4868,4348,16
4867,4345,16
4866,4342,15
4865,4338,15
4864,4335,15
4863,4332,15
4862,4329,14
4861,4325,14
4860,4322,14
4859,4318,15
4858,4315,15
4857,4312,15
4856,4308,15
4855,4305,16
4854,4302,16
4853,4299,16
4852,4296,16
4851,4293,16
4850,4290,16
4849,4287,15
4848,4284,15
4847,4281,15
4846,4278,15
4845,4275,15
4844,4272,15
4843,4269,15
4842,4266,15
4841,4262,15
4840,4259,15
4839,4256,15
4838,4252,15
4837,4249,15
4836,4245,15
4835,4241,15
4834,4237,15
4833,4233,15
4832,4229,15
4831,4225,15
4830,4220,14
4829,4216,14
4828,4212,14
